,survived,pclass,fare,age,sex,embark
0,0,3,7.25,22.0,1,S
1,1,1,71.2833,38.0,0,C
2,1,3,7.925,26.0,0,S
3,1,1,53.1,35.0,0,S
4,0,3,8.05,35.0,1,S
6,0,1,51.8625,54.0,1,S
7,0,3,21.075,2.0,1,S
8,1,3,11.1333,27.0,0,S
9,1,2,30.0708,14.0,0,C
10,1,3,16.7,4.0,0,S
11,1,1,26.55,58.0,0,S
12,0,3,8.05,20.0,1,S
13,0,3,31.275,39.0,1,S
14,0,3,7.8542,14.0,0,S
15,1,2,16.0,55.0,0,S
16,0,3,29.125,2.0,1,Q
18,0,3,18.0,31.0,0,S
20,0,2,26.0,35.0,1,S
21,1,2,13.0,34.0,1,S
22,1,3,8.0292,15.0,0,Q
23,1,1,35.5,28.0,1,S
24,0,3,21.075,8.0,0,S
25,1,3,31.3875,38.0,0,S
27,0,1,263.0,19.0,1,S
30,0,1,27.7208,40.0,1,C
33,0,2,10.5,66.0,1,S
34,0,1,82.1708,28.0,1,C
35,0,1,52.0,42.0,1,S
37,0,3,8.05,21.0,1,S
38,0,3,18.0,18.0,0,S
39,1,3,11.2417,14.0,0,C
40,0,3,9.475,40.0,0,S
41,0,2,21.0,27.0,0,S
43,1,2,41.5792,3.0,0,C
44,1,3,7.8792,19.0,0,Q
49,0,3,17.8,18.0,0,S
50,0,3,39.6875,7.0,1,S
51,0,3,7.8,21.0,1,S
52,1,1,76.7292,49.0,0,C
53,1,2,26.0,29.0,0,S
54,0,1,61.9792,65.0,1,C
56,1,2,10.5,21.0,0,S
57,0,3,7.2292,28.5,1,C
58,1,2,27.75,5.0,0,S
59,0,3,46.9,11.0,1,S
60,0,3,7.2292,22.0,1,C
62,0,1,83.475,45.0,1,S
63,0,3,27.9,4.0,1,S
66,1,2,10.5,29.0,0,S
67,0,3,8.1583,19.0,1,S
68,1,3,7.925,17.0,0,S
69,0,3,8.6625,26.0,1,S
70,0,2,10.5,32.0,1,S
71,0,3,46.9,16.0,0,S
72,0,2,73.5,21.0,1,S
73,0,3,14.4542,26.0,1,C
74,1,3,56.4958,32.0,1,S
75,0,3,7.65,25.0,1,S
78,1,2,29.0,0.83,1,S
79,1,3,12.475,30.0,0,S
80,0,3,9.0,22.0,1,S
81,1,3,9.5,29.0,1,S
83,0,1,47.1,28.0,1,S
84,1,2,10.5,17.0,0,S
85,1,3,15.85,33.0,0,S
86,0,3,34.375,16.0,1,S
88,1,1,263.0,23.0,0,S
89,0,3,8.05,24.0,1,S
90,0,3,8.05,29.0,1,S
91,0,3,7.8542,20.0,1,S
92,0,1,61.175,46.0,1,S
93,0,3,20.575,26.0,1,S
94,0,3,7.25,59.0,1,S
96,0,1,34.6542,71.0,1,C
97,1,1,63.3583,23.0,1,C
98,1,2,23.0,34.0,0,S
99,0,2,26.0,34.0,1,S
100,0,3,7.8958,28.0,0,S
102,0,1,77.2875,21.0,1,S
103,0,3,8.6542,33.0,1,S
104,0,3,7.925,37.0,1,S
105,0,3,7.8958,28.0,1,S
106,1,3,7.65,21.0,0,S
108,0,3,7.8958,38.0,1,S
110,0,1,52.0,47.0,1,S
111,0,3,14.4542,14.5,0,C
112,0,3,8.05,22.0,1,S
113,0,3,9.825,20.0,0,S
114,0,3,14.4583,17.0,0,C
115,0,3,7.925,21.0,1,S
116,0,3,7.75,70.5,1,Q
117,0,2,21.0,29.0,1,S
118,0,1,247.5208,24.0,1,C
119,0,3,31.275,2.0,0,S
120,0,2,73.5,21.0,1,S
122,0,2,30.0708,32.5,1,C
123,1,2,13.0,32.5,0,S
124,0,1,77.2875,54.0,1,S
125,1,3,11.2417,12.0,1,C
127,1,3,7.1417,24.0,1,S
129,0,3,6.975,45.0,1,S
130,0,3,7.8958,33.0,1,C
131,0,3,7.05,20.0,1,S
132,0,3,14.5,47.0,0,S
133,1,2,26.0,29.0,0,S
134,0,2,13.0,25.0,1,S
135,0,2,15.0458,23.0,1,C
136,1,1,26.2833,19.0,0,S
137,0,1,53.1,37.0,1,S
138,0,3,9.2167,16.0,1,S
139,0,1,79.2,24.0,1,C
141,1,3,7.75,22.0,0,S
142,1,3,15.85,24.0,0,S
143,0,3,6.75,19.0,1,Q
144,0,2,11.5,18.0,1,S
145,0,2,36.75,19.0,1,S
146,1,3,7.7958,27.0,1,S
147,0,3,34.375,9.0,0,S
148,0,2,26.0,36.5,1,S
149,0,2,13.0,42.0,1,S
150,0,2,12.525,51.0,1,S
151,1,1,66.6,22.0,0,S
152,0,3,8.05,55.5,1,S
153,0,3,14.5,40.5,1,S
155,0,1,61.3792,51.0,1,C
156,1,3,7.7333,16.0,0,Q
157,0,3,8.05,30.0,1,S
160,0,3,16.1,44.0,1,S
161,1,2,15.75,40.0,0,S
162,0,3,7.775,26.0,1,S
163,0,3,8.6625,17.0,1,S
164,0,3,39.6875,1.0,1,S
165,1,3,20.525,9.0,1,S
167,0,3,27.9,45.0,0,S
169,0,3,56.4958,28.0,1,S
170,0,1,33.5,61.0,1,S
171,0,3,29.125,4.0,1,Q
172,1,3,11.1333,1.0,0,S
173,0,3,7.925,21.0,1,S
174,0,1,30.6958,56.0,1,C
175,0,3,7.8542,18.0,1,S
177,0,1,28.7125,50.0,0,C
178,0,2,13.0,30.0,1,S
179,0,3,0.0,36.0,1,S
182,0,3,31.3875,9.0,1,S
183,1,2,39.0,1.0,1,S
184,1,3,22.025,4.0,0,S
187,1,1,26.55,45.0,1,S
188,0,3,15.5,40.0,1,Q
189,0,3,7.8958,36.0,1,S
190,1,2,13.0,32.0,0,S
191,0,2,13.0,19.0,1,S
192,1,3,7.8542,19.0,0,S
193,1,2,26.0,3.0,1,S
194,1,1,27.7208,44.0,0,C
195,1,1,146.5208,58.0,0,C
197,0,3,8.4042,42.0,1,S
199,0,2,13.0,24.0,0,S
200,0,3,9.5,28.0,1,S
202,0,3,6.4958,34.0,1,S
203,0,3,7.225,45.5,1,C
204,1,3,8.05,18.0,1,S
205,0,3,10.4625,2.0,0,S
206,0,3,15.85,32.0,1,S
207,1,3,18.7875,26.0,1,C
208,1,3,7.75,16.0,0,Q
209,1,1,31.0,40.0,1,C
210,0,3,7.05,24.0,1,S
211,1,2,21.0,35.0,0,S
212,0,3,7.25,22.0,1,S
213,0,2,13.0,30.0,1,S
215,1,1,113.275,31.0,0,C
216,1,3,7.925,27.0,0,S
217,0,2,27.0,42.0,1,S
218,1,1,76.2917,32.0,0,C
219,0,2,10.5,30.0,1,S
220,1,3,8.05,16.0,1,S
221,0,2,13.0,27.0,1,S
222,0,3,8.05,51.0,1,S
224,1,1,90.0,38.0,1,S
225,0,3,9.35,22.0,1,S
226,1,2,10.5,19.0,1,S
227,0,3,7.25,20.5,1,S
228,0,2,13.0,18.0,1,S
230,1,1,83.475,35.0,0,S
231,0,3,7.775,29.0,1,S
232,0,2,13.5,59.0,1,S
233,1,3,31.3875,5.0,0,S
234,0,2,10.5,24.0,1,S
236,0,2,26.0,44.0,1,S
237,1,2,26.25,8.0,0,S
238,0,2,10.5,19.0,1,S
239,0,2,12.275,33.0,1,S
242,0,2,10.5,29.0,1,S
243,0,3,7.125,22.0,1,S
244,0,3,7.225,30.0,1,C
245,0,1,90.0,44.0,1,Q
246,0,3,7.775,25.0,0,S
247,1,2,14.5,24.0,0,S
248,1,1,52.5542,37.0,1,S
249,0,2,26.0,54.0,1,S
251,0,3,10.4625,29.0,0,S
252,0,1,26.55,62.0,1,S
253,0,3,16.1,30.0,1,S
254,0,3,20.2125,41.0,0,S
255,1,3,15.2458,29.0,0,C
257,1,1,86.5,30.0,0,S
258,1,1,512.3292,35.0,0,C
259,1,2,26.0,50.0,0,S
261,1,3,31.3875,3.0,1,S
262,0,1,79.65,52.0,1,S
263,0,1,0.0,40.0,1,S
265,0,2,10.5,36.0,1,S
266,0,3,39.6875,16.0,1,S
267,1,3,7.775,25.0,1,S
268,1,1,153.4625,58.0,0,S
269,1,1,135.6333,35.0,0,S
271,1,3,0.0,25.0,1,S
272,1,2,19.5,41.0,0,S
273,0,1,29.7,37.0,1,C
275,1,1,77.9583,63.0,0,S
276,0,3,7.75,45.0,0,S
278,0,3,29.125,7.0,1,Q
279,1,3,20.25,35.0,0,S
280,0,3,7.75,65.0,1,Q
281,0,3,7.8542,28.0,1,S
282,0,3,9.5,16.0,1,S
283,1,3,8.05,19.0,1,S
285,0,3,8.6625,33.0,1,C
286,1,3,9.5,30.0,1,S
287,0,3,7.8958,22.0,1,S
288,1,2,13.0,42.0,1,S
289,1,3,7.75,22.0,0,Q
290,1,1,78.85,26.0,0,S
291,1,1,91.0792,19.0,0,C
292,0,2,12.875,36.0,1,C
293,0,3,8.85,24.0,0,S
294,0,3,7.8958,24.0,1,S
296,0,3,7.2292,23.5,1,C
297,0,1,151.55,2.0,0,S
299,1,1,247.5208,50.0,0,C
302,0,3,0.0,19.0,1,S
305,1,1,151.55,0.92,1,S
307,1,1,108.9,17.0,0,C
308,0,2,24.0,30.0,1,C
309,1,1,56.9292,30.0,0,C
310,1,1,83.1583,24.0,0,C
311,1,1,262.375,18.0,0,C
312,0,2,26.0,26.0,0,S
313,0,3,7.8958,28.0,1,S
314,0,2,26.25,43.0,1,S
315,1,3,7.8542,26.0,0,S
316,1,2,26.0,24.0,0,S
317,0,2,14.0,54.0,1,S
318,1,1,164.8667,31.0,0,S
319,1,1,134.5,40.0,0,C
320,0,3,7.25,22.0,1,S
321,0,3,7.8958,27.0,1,S
322,1,2,12.35,30.0,0,Q
323,1,2,29.0,22.0,0,S
325,1,1,135.6333,36.0,0,C
326,0,3,6.2375,61.0,1,S
327,1,2,13.0,36.0,0,S
328,1,3,20.525,31.0,0,S
329,1,1,57.9792,16.0,0,C
331,0,1,28.5,45.5,1,S
332,0,1,153.4625,38.0,1,S
333,0,3,18.0,16.0,1,S
336,0,1,66.6,29.0,1,S
337,1,1,134.5,41.0,0,C
338,1,3,8.05,45.0,1,S
339,0,1,35.5,45.0,1,S
340,1,2,26.0,2.0,1,S
341,1,1,263.0,24.0,0,S
342,0,2,13.0,28.0,1,S
343,0,2,13.0,25.0,1,S
344,0,2,13.0,36.0,1,S
345,1,2,13.0,24.0,0,S
346,1,2,13.0,40.0,0,S
348,1,3,15.9,3.0,1,S
349,0,3,8.6625,42.0,1,S
350,0,3,9.225,23.0,1,S
352,0,3,7.2292,15.0,1,C
353,0,3,17.8,25.0,1,S
355,0,3,9.5,28.0,1,S
356,1,1,55.0,22.0,0,S
357,0,2,13.0,38.0,0,S
360,0,3,27.9,40.0,1,S
361,0,2,27.7208,29.0,1,C
362,0,3,14.4542,45.0,0,C
363,0,3,7.05,35.0,1,S
365,0,3,7.25,30.0,1,S
366,1,1,75.25,60.0,0,C
369,1,1,69.3,24.0,0,C
370,1,1,55.4417,25.0,1,C
371,0,3,6.4958,18.0,1,S
372,0,3,8.05,19.0,1,S
373,0,1,135.6333,22.0,1,C
374,0,3,21.075,3.0,0,S
376,1,3,7.25,22.0,0,S
377,0,1,211.5,27.0,1,C
378,0,3,4.0125,20.0,1,C
379,0,3,7.775,19.0,1,S
380,1,1,227.525,42.0,0,C
381,1,3,15.7417,1.0,0,C
382,0,3,7.925,32.0,1,S
383,1,1,52.0,35.0,0,S
385,0,2,73.5,18.0,1,S
386,0,3,46.9,1.0,1,S
387,1,2,13.0,36.0,0,S
389,1,2,12.0,17.0,0,C
390,1,1,120.0,36.0,1,S
391,1,3,7.7958,21.0,1,S
392,0,3,7.925,28.0,1,S
393,1,1,113.275,23.0,0,C
394,1,3,16.7,24.0,0,S
395,0,3,7.7958,22.0,1,S
396,0,3,7.8542,31.0,0,S
397,0,2,26.0,46.0,1,S
398,0,2,10.5,23.0,1,S
399,1,2,12.65,28.0,0,S
400,1,3,7.925,39.0,1,S
401,0,3,8.05,26.0,1,S
402,0,3,9.825,21.0,0,S
403,0,3,15.85,28.0,1,S
404,0,3,8.6625,20.0,0,S
405,0,2,21.0,34.0,1,S
406,0,3,7.75,51.0,1,S
407,1,2,18.75,3.0,1,S
408,0,3,7.775,21.0,1,S
412,1,1,90.0,33.0,0,Q
414,1,3,7.925,44.0,1,S
416,1,2,32.5,34.0,0,S
417,1,2,13.0,18.0,0,S
418,0,2,13.0,30.0,1,S
419,0,3,24.15,10.0,0,S
421,0,3,7.7333,21.0,1,Q
422,0,3,7.875,29.0,1,S
423,0,3,14.4,28.0,0,S
424,0,3,20.2125,18.0,1,S
426,1,2,26.0,28.0,0,S
427,1,2,26.0,19.0,0,S
429,1,3,8.05,32.0,1,S
430,1,1,26.55,28.0,1,S
432,1,2,26.0,42.0,0,S
433,0,3,7.125,17.0,1,S
434,0,1,55.9,50.0,1,S
435,1,1,120.0,14.0,0,S
436,0,3,34.375,21.0,0,S
437,1,2,18.75,24.0,0,S
438,0,1,263.0,64.0,1,S
439,0,2,10.5,31.0,1,S
440,1,2,26.25,45.0,0,S
441,0,3,9.5,20.0,1,S
442,0,3,7.775,25.0,1,S
443,1,2,13.0,28.0,0,S
445,1,1,81.8583,4.0,1,S
446,1,2,19.5,13.0,0,S
447,1,1,26.55,34.0,1,S
448,1,3,19.2583,5.0,0,C
449,1,1,30.5,52.0,1,S
450,0,2,27.75,36.0,1,S
452,0,1,27.75,30.0,1,C
453,1,1,89.1042,49.0,1,C
455,1,3,7.8958,29.0,1,C
456,0,1,26.55,65.0,1,S
458,1,2,10.5,50.0,0,S
460,1,1,26.55,48.0,1,S
461,0,3,8.05,34.0,1,S
462,0,1,38.5,47.0,1,S
463,0,2,13.0,48.0,1,S
465,0,3,7.05,38.0,1,S
467,0,1,26.55,56.0,1,S
469,1,3,19.2583,0.75,0,C
471,0,3,8.6625,38.0,1,S
472,1,2,27.75,33.0,0,S
473,1,2,13.7917,23.0,0,C
474,0,3,9.8375,22.0,0,S
476,0,2,21.0,34.0,1,S
477,0,3,7.0458,29.0,1,S
478,0,3,7.5208,22.0,1,S
479,1,3,12.2875,2.0,0,S
480,0,3,46.9,9.0,1,S
482,0,3,8.05,50.0,1,S
483,1,3,9.5875,63.0,0,S
484,1,1,91.0792,25.0,1,C
486,1,1,90.0,35.0,0,S
487,0,1,29.7,58.0,1,C
488,0,3,8.05,30.0,1,S
489,1,3,15.9,9.0,1,S
491,0,3,7.25,21.0,1,S
492,0,1,30.5,55.0,1,S
493,0,1,49.5042,71.0,1,C
494,0,3,8.05,21.0,1,S
496,1,1,78.2667,54.0,0,C
498,0,1,151.55,25.0,0,S
499,0,3,7.7958,24.0,1,S
500,0,3,8.6625,17.0,1,S
501,0,3,7.75,21.0,0,Q
503,0,3,9.5875,37.0,0,S
504,1,1,86.5,16.0,0,S
505,0,1,108.9,18.0,1,C
506,1,2,26.0,33.0,0,S
508,0,3,22.525,28.0,1,S
509,1,3,56.4958,26.0,1,S
510,1,3,7.75,29.0,1,Q
512,1,1,26.2875,36.0,1,S
513,1,1,59.4,54.0,0,C
514,0,3,7.4958,24.0,1,S
515,0,1,34.0208,47.0,1,S
516,1,2,10.5,34.0,0,S
518,1,2,26.0,36.0,0,S
519,0,3,7.8958,32.0,1,S
520,1,1,93.5,30.0,0,S
521,0,3,7.8958,22.0,1,S
523,1,1,57.9792,44.0,0,C
525,0,3,7.75,40.5,1,Q
526,1,2,10.5,50.0,0,S
528,0,3,7.925,39.0,1,S
529,0,2,11.5,23.0,1,S
530,1,2,26.0,2.0,0,S
532,0,3,7.2292,17.0,1,C
534,0,3,8.6625,30.0,0,S
535,1,2,26.25,7.0,0,S
536,0,1,26.55,45.0,1,S
537,1,1,106.425,30.0,0,C
539,1,1,49.5,22.0,0,C
540,1,1,71.0,36.0,0,S
541,0,3,31.275,9.0,0,S
542,0,3,31.275,11.0,0,S
543,1,2,26.0,32.0,1,S
544,0,1,106.425,50.0,1,C
545,0,1,26.0,64.0,1,S
546,1,2,26.0,19.0,0,S
548,0,3,20.525,33.0,1,S
549,1,2,36.75,8.0,1,S
550,1,1,110.8833,17.0,1,C
551,0,2,26.0,27.0,1,S
553,1,3,7.225,22.0,1,C
554,1,3,7.775,22.0,0,S
555,0,1,26.55,62.0,1,S
556,1,1,39.6,48.0,0,C
558,1,1,79.65,39.0,0,S
559,1,3,17.4,36.0,0,S
561,0,3,7.8958,40.0,1,S
562,0,2,13.5,28.0,1,S
565,0,3,24.15,24.0,1,S
566,0,3,7.8958,19.0,1,S
567,0,3,21.075,29.0,0,S
569,1,3,7.8542,32.0,1,S
570,1,2,10.5,62.0,1,S
571,1,1,51.4792,53.0,0,S
572,1,1,26.3875,36.0,1,S
574,0,3,8.05,16.0,1,S
575,0,3,14.5,19.0,1,S
576,1,2,13.0,34.0,0,S
577,1,1,55.9,39.0,0,S
579,1,3,7.925,32.0,1,S
580,1,2,30.0,25.0,0,S
581,1,1,110.8833,39.0,0,C
582,0,2,26.0,54.0,1,S
583,0,1,40.125,36.0,1,C
585,1,1,79.65,18.0,0,S
586,0,2,15.0,47.0,1,S
587,1,1,79.2,60.0,1,C
588,0,3,8.05,22.0,1,S
590,0,3,7.125,35.0,1,S
591,1,1,78.2667,52.0,0,C
592,0,3,7.25,47.0,1,S
594,0,2,26.0,37.0,1,S
595,0,3,24.15,36.0,1,S
597,0,3,0.0,49.0,1,S
599,1,1,56.9292,49.0,1,C
600,1,2,27.0,24.0,0,S
603,0,3,8.05,44.0,1,S
604,1,1,26.55,35.0,1,C
605,0,3,15.55,36.0,1,S
606,0,3,7.8958,30.0,1,S
607,1,1,30.5,27.0,1,S
608,1,2,41.5792,22.0,0,C
609,1,1,153.4625,40.0,0,S
610,0,3,31.275,39.0,0,S
614,0,3,8.05,35.0,1,S
615,1,2,65.0,24.0,0,S
616,0,3,14.4,34.0,1,S
617,0,3,16.1,26.0,0,S
618,1,2,39.0,4.0,0,S
619,0,2,10.5,26.0,1,S
620,0,3,14.4542,27.0,1,C
621,1,1,52.5542,42.0,1,S
622,1,3,15.7417,20.0,1,C
623,0,3,7.8542,21.0,1,S
624,0,3,16.1,21.0,1,S
625,0,1,32.3208,61.0,1,S
626,0,2,12.35,57.0,1,Q
627,1,1,77.9583,21.0,0,S
628,0,3,7.8958,26.0,1,S
630,1,1,30.0,80.0,1,S
631,0,3,7.0542,51.0,1,S
632,1,1,30.5,32.0,1,C
634,0,3,27.9,9.0,0,S
635,1,2,13.0,28.0,0,S
636,0,3,7.925,32.0,1,S
637,0,2,26.25,31.0,1,S
638,0,3,39.6875,41.0,0,S
640,0,3,7.8542,20.0,1,S
641,1,1,69.3,24.0,0,C
642,0,3,27.9,2.0,0,S
644,1,3,19.2583,0.75,0,C
645,1,1,76.7292,48.0,1,C
646,0,3,7.8958,19.0,1,S
647,1,1,35.5,56.0,1,C
649,1,3,7.55,23.0,0,S
651,1,2,23.0,18.0,0,S
652,0,3,8.4333,21.0,1,S
654,0,3,6.75,18.0,0,Q
655,0,2,73.5,24.0,1,S
657,0,3,15.5,32.0,0,Q
658,0,2,13.0,23.0,1,S
659,0,1,113.275,58.0,1,C
660,1,1,133.65,50.0,1,S
661,0,3,7.225,40.0,1,C
662,0,1,25.5875,47.0,1,S
663,0,3,7.4958,36.0,1,S
664,1,3,7.925,20.0,1,S
665,0,2,73.5,32.0,1,S
666,0,2,13.0,25.0,1,S
668,0,3,8.05,43.0,1,S
670,1,2,39.0,40.0,0,S
671,0,1,52.0,31.0,1,S
672,0,2,10.5,70.0,1,S
673,1,2,13.0,31.0,1,S
675,0,3,7.775,18.0,1,S
676,0,3,8.05,24.5,1,S
677,1,3,9.8417,18.0,0,S
678,0,3,46.9,43.0,0,S
679,1,1,512.3292,36.0,1,C
681,1,1,76.7292,27.0,1,C
682,0,3,9.225,20.0,1,S
683,0,3,46.9,14.0,1,S
684,0,2,39.0,60.0,1,S
685,0,2,41.5792,25.0,1,C
686,0,3,39.6875,14.0,1,S
687,0,3,10.1708,19.0,1,S
688,0,3,7.7958,18.0,1,S
689,1,1,211.3375,15.0,0,S
690,1,1,57.0,31.0,1,S
691,1,3,13.4167,4.0,0,C
693,0,3,7.225,25.0,1,C
694,0,1,26.55,60.0,1,S
695,0,2,13.5,52.0,1,S
696,0,3,8.05,44.0,1,S
698,0,1,110.8833,49.0,1,C
699,0,3,7.65,42.0,1,S
700,1,1,227.525,18.0,0,C
701,1,1,26.2875,35.0,1,S
702,0,3,14.4542,18.0,0,C
703,0,3,7.7417,25.0,1,Q
704,0,3,7.8542,26.0,1,S
705,0,2,26.0,39.0,1,S
706,1,2,13.5,45.0,0,S
707,1,1,26.2875,42.0,1,S
708,1,1,151.55,22.0,0,S
710,1,1,49.5042,24.0,0,C
712,1,1,52.0,48.0,1,S
713,0,3,9.4833,29.0,1,S
714,0,2,13.0,52.0,1,S
715,0,3,7.65,19.0,1,S
716,1,1,227.525,38.0,0,C
717,1,2,10.5,27.0,0,S
719,0,3,7.775,33.0,1,S
720,1,2,33.0,6.0,0,S
721,0,3,7.0542,17.0,1,S
722,0,2,13.0,34.0,1,S
723,0,2,13.0,50.0,1,S
724,1,1,53.1,27.0,1,S
725,0,3,8.6625,20.0,1,S
726,1,2,21.0,30.0,0,S
728,0,2,26.0,25.0,1,S
729,0,3,7.925,25.0,0,S
730,1,1,211.3375,29.0,0,S
731,0,3,18.7875,11.0,1,C
733,0,2,13.0,23.0,1,S
734,0,2,13.0,23.0,1,S
735,0,3,16.1,28.5,1,S
736,0,3,34.375,48.0,0,S
737,1,1,512.3292,35.0,1,C
741,0,1,78.85,36.0,1,S
742,1,1,262.375,21.0,0,C
743,0,3,16.1,24.0,1,S
744,1,3,7.925,31.0,1,S
745,0,1,71.0,70.0,1,S
746,0,3,20.25,16.0,1,S
747,1,2,13.0,30.0,0,S
748,0,1,53.1,19.0,1,S
749,0,3,7.75,31.0,1,Q
750,1,2,23.0,4.0,0,S
751,1,3,12.475,6.0,1,S
752,0,3,9.5,33.0,1,S
753,0,3,7.8958,23.0,1,S
754,1,2,65.0,48.0,0,S
755,1,2,14.5,0.67,1,S
756,0,3,7.7958,28.0,1,S
757,0,2,11.5,18.0,1,S
758,0,3,8.05,34.0,1,S
759,1,1,86.5,33.0,0,S
761,0,3,7.125,41.0,1,S
762,1,3,7.2292,20.0,1,C
763,1,1,120.0,36.0,0,S
764,0,3,7.775,16.0,1,S
765,1,1,77.9583,51.0,0,S
767,0,3,7.75,30.5,0,Q
769,0,3,8.3625,32.0,1,S
770,0,3,9.5,24.0,1,S
771,0,3,7.8542,48.0,1,S
772,0,2,10.5,57.0,0,S
774,1,2,23.0,54.0,0,S
775,0,3,7.75,18.0,1,S
777,1,3,12.475,5.0,0,S
779,1,1,211.3375,43.0,0,S
780,1,3,7.2292,13.0,0,C
781,1,1,57.0,17.0,0,S
782,0,1,30.0,29.0,1,S
784,0,3,7.05,25.0,1,S
785,0,3,7.25,25.0,1,S
786,1,3,7.4958,18.0,0,S
787,0,3,29.125,8.0,1,Q
788,1,3,20.575,1.0,1,S
789,0,1,79.2,46.0,1,C
791,0,2,26.0,16.0,1,S
794,0,3,7.8958,25.0,1,S
795,0,2,13.0,39.0,1,S
796,1,1,25.9292,49.0,0,S
797,1,3,8.6833,31.0,0,S
798,0,3,7.2292,30.0,1,C
799,0,3,24.15,30.0,0,S
800,0,2,13.0,34.0,1,S
801,1,2,26.25,31.0,0,S
802,1,1,120.0,11.0,1,S
803,1,3,8.5167,0.42,1,C
804,1,3,6.975,27.0,1,S
805,0,3,7.775,31.0,1,S
806,0,1,0.0,39.0,1,S
807,0,3,7.775,18.0,0,S
808,0,2,13.0,39.0,1,S
809,1,1,53.1,33.0,0,S
810,0,3,7.8875,26.0,1,S
811,0,3,24.15,39.0,1,S
812,0,2,10.5,35.0,1,S
813,0,3,31.275,6.0,0,S
814,0,3,8.05,30.5,1,S
816,0,3,7.925,23.0,0,S
817,0,2,37.0042,31.0,1,C
818,0,3,6.45,43.0,1,S
819,0,3,27.9,10.0,1,S
820,1,1,93.5,52.0,0,S
821,1,3,8.6625,27.0,1,S
822,0,1,0.0,38.0,1,S
823,1,3,12.475,27.0,0,S
824,0,3,39.6875,2.0,1,S
827,1,2,37.0042,1.0,1,C
830,1,3,14.4542,15.0,0,C
831,1,2,18.75,0.83,1,S
833,0,3,7.8542,23.0,1,S
834,0,3,8.3,18.0,1,S
835,1,1,83.1583,39.0,0,C
836,0,3,8.6625,21.0,1,S
838,1,3,56.4958,32.0,1,S
840,0,3,7.925,20.0,1,S
841,0,2,10.5,16.0,1,S
842,1,1,31.0,30.0,0,C
843,0,3,6.4375,34.5,1,C
844,0,3,8.6625,17.0,1,S
845,0,3,7.55,42.0,1,S
847,0,3,7.8958,35.0,1,C
848,0,2,33.0,28.0,1,S
850,0,3,31.275,4.0,1,S
851,0,3,7.775,74.0,1,S
852,0,3,15.2458,9.0,0,C
853,1,1,39.4,16.0,0,S
854,0,2,26.0,44.0,0,S
855,1,3,9.35,18.0,0,S
856,1,1,164.8667,45.0,0,S
857,1,1,26.55,51.0,1,S
858,1,3,19.2583,24.0,0,C
860,0,3,14.1083,41.0,1,S
861,0,2,11.5,21.0,1,S
862,1,1,25.9292,48.0,0,S
864,0,2,13.0,24.0,1,S
865,1,2,13.0,42.0,0,S
866,1,2,13.8583,27.0,0,C
867,0,1,50.4958,31.0,1,S
869,1,3,11.1333,4.0,1,S
870,0,3,7.8958,26.0,1,S
871,1,1,52.5542,47.0,0,S
872,0,1,5.0,33.0,1,S
873,0,3,9.0,47.0,1,S
874,1,2,24.0,28.0,0,C
875,1,3,7.225,15.0,0,C
876,0,3,9.8458,20.0,1,S
877,0,3,7.8958,19.0,1,S
879,1,1,83.1583,56.0,0,C
880,1,2,26.0,25.0,0,S
881,0,3,7.8958,33.0,1,S
882,0,3,10.5167,22.0,0,S
883,0,2,10.5,28.0,1,S
884,0,3,7.05,25.0,1,S
885,0,3,29.125,39.0,0,Q
886,0,2,13.0,27.0,1,S
887,1,1,30.0,19.0,0,S
889,1,1,30.0,26.0,1,C
890,0,3,7.75,32.0,1,Q
